Name,ReleaseDate,Label,Album,pop1,pop2,pop3,pop4,nonBandMemberWriters,lyricalComplexity,musicalComplexity,totalComplexity,Artist
What Lovers Do,2017-08-30,222 Records / Interscope,Red Pill Blues + (Deluxe),-0.3519862585470757,-0.36669718109616706,0.5928215002565378,0.8050514419336636,7,-1.7749075690067408,0,-1.7749075690067408,Maroon 5
Wipe your Eyes,2012-06-20,NA,Overexposed Track by Track,-0.5614923628900322,-0.6600075842651467,-2.0401584643464217,-1.4070978003650585,5,0.0800125604560066,0,0.0800125604560066,Maroon 5
Won't Go Home without you,2007-11-19,A&m/Octone,it Won't be Soon Before Long.,-0.5126577683379465,-0.586968561528115,-0.39114631177066905,-0.38961769737603963,0,-0.8940523273555774,0.5120065437383426,-0.38204578361723474,Maroon 5
Can't Stop the Feeling!,2016-05-06,Villa 40 / Rca Records,NA,2.1706941136187616,1.8445306281076261,0.6235066871829624,0.7463173578581865,2,0.3865412469900835,0,0.3865412469900835,Justin Timberlake
Cry Me a River,2002-11-05,NA,Justified,-0.11203690674607093,-0.05420374289414736,0.5771251326683003,0.7455936405350991,2,-0.6724407638257629,0,-0.6724407638257629,Justin Timberlake
Filthy,2018-01-05,NA,Man of the Woods,-0.7546544063022455,-0.7073900661813148,0.43208470428401785,0.04589780526983702,4,-0.5738302017209564,0,-0.5738302017209564,Justin Timberlake
Like i Love you,2002-10-14,NA,Justified,-0.49826863014878,-0.48512482731502066,0.3816298123145773,0.5362481357715144,4,1.0174304082880568,0,1.0174304082880568,Justin Timberlake
Love Never Felt so Good,2014-05-02,NA,NA,-0.6397965997198041,-0.5850784827476934,0.43208470428401785,-0.18997309999412046,2,-2.41377370380305,0,-2.41377370380305,Justin Timberlake
Man of the Woods,2018-02-02,NA,Man of the Woods,-0.7727762489353563,-0.7866159737627251,-2.296035401478875,-0.821776197651565,2,-0.05587188651442702,0,-0.05587188651442702,Justin Timberlake
Mirrors,2013-02-11,Rca Records,The 20/20 Experience (Deluxe Version),1.8823126072052778,0.8586349106700788,0.6004329188602497,0.5774226764520758,3,0.8634135947980961,0,0.8634135947980961,Justin Timberlake
My Love,2006-09-08,Jive/Zomba,NA,0.9818391016341632,1.185481999565652,0.6235066871829624,0.7005579962805645,3,0.43628865154442553,0,0.43628865154442553,Justin Timberlake
My Love,2006-09-08,Jive,NA,0.9818391016341632,1.185481999565652,0.6235066871829624,0.7005579962805645,3,0.43628865154442553,0,0.43628865154442553,Justin Timberlake
Not a Bad Thing,2013-09-30,Rca Records,The 20/20 Experience - 2 of 2 (Deluxe),-0.2026055125977417,-0.2549652388043409,0.45690274266492803,0.6266095156063493,3,-1.4861382178711737,0,-1.4861382178711737,Justin Timberlake
Pusher Love Girl,2013-03-15,NA,The 20/20 Experience (Deluxe Version),-0.771954502780004,-0.7818335968801479,-1.657506521865236,-1.1250174012424152,3,-0.777356360311077,0,-0.777356360311077,Justin Timberlake
Rock your Body,2002-11-04,Jive,Justified,-0.221208730182613,-0.23627685966593925,0.5297881754497021,0.6519481822810256,2,-0.26776561849367025,0,-0.26776561849367025,Justin Timberlake
Say Something,2018-01-25,NA,Man of the Woods,-0.6694814800895214,-0.6040351873207938,0.43208470428401785,-0.1667496150388572,5,0.7925337982034605,0,0.7925337982034605,Justin Timberlake
Senorita,2003-07-08,NA,NA,-0.6779872730489045,-0.6635081571648661,-0.06766486113463621,-0.4796545154737491,2,0.6877789226533144,0,0.6877789226533144,Justin Timberlake
Sexyback,2006-07-18,NA,NA,1.469920642582986,2.460305797430949,0.6235066871829624,0.5468068502666492,2,-0.5668629702964998,0,-0.5668629702964998,Justin Timberlake
Suit & Tie,2013-01-15,Rca Records,The 20/20 Experience (Deluxe Version),0.2983956665137839,0.2808686492408497,0.5771251326683003,0.6640539391675628,7,1.0938093794061765,0,1.0938093794061765,Justin Timberlake
Supplies,2018-01-18,NA,Man of the Woods,-0.772103878892956,-0.7829150145306566,-2.1380262411613398,-3.157653270659744,2,1.3090445837033746,0,1.3090445837033746,Justin Timberlake
Take Back the Night,2013-07-12,NA,The 20/20 Experience - 2 of 2 (Deluxe),-0.7102879621109749,-0.6878748377475105,-0.1305450633869006,0.09936800057158308,3,0.22719913724962904,0,0.22719913724962904,Justin Timberlake
all Around the World,2012-02-26,Island,Believe (Deluxe Edition),-0.3165173332395208,-0.3028225614692047,0.6514487697101867,-0.5590627391298074,4,0.04235505516455576,0,0.04235505516455576,Justin Bieber
all Bad,2013-11-11,NA,Journals,-0.34267917513302776,-0.35960552098564846,0.20521714916132136,0.7656684868031846,3,0.21112014983694266,0,0.21112014983694266,Justin Bieber
all that Matters,2013-10-14,NA,Journals,-0.3215450211426519,-0.3060519575001667,0.6252938864153332,-0.44322593625844164,3,0.38213355457691167,0,0.38213355457691167,Justin Bieber
As Long as you Love Me,2012-06-11,Def Jam,Believe (Deluxe Edition),1.384377582335126,0.7780212823578604,0.8395872627102691,1.0400231358938072,4,0.5564069555589141,0,0.5564069555589141,Justin Bieber
Baby,2010-01-18,Island/Def Jam,My World 2.0,0.19371667119605188,0.27127002914045234,0.8502703347567934,1.2404122559389368,5,-0.5938073502959389,0,-0.5938073502959389,Justin Bieber
Bad Day,2013-11-04,NA,Journals,-0.3427314131711564,-0.36013490629544237,0.14342659095863303,0.6971611281143498,8,-0.2724388419694906,0,-0.2724388419694906,Justin Bieber
Beauty and a Beat,2012-10-24,Island/Def Jam,Believe (Deluxe Edition),0.839650803608614,0.5424903561702361,0.8502703347567934,1.1555661493120153,4,0.859600664700672,0,0.859600664700672,Justin Bieber
Been you,2015-11-13,NA,Purpose (Deluxe),-0.3430323730616096,-0.36318486281277357,-0.7477146963546402,-0.2908496228509046,5,0.46265705916939387,0,0.46265705916939387,Justin Bieber
Bigger,2009-11-17,NA,My World,-0.343111157774574,-0.3639832746822421,-1.8104971060570265,-1.4691593495705741,4,0.16328098396198987,0,0.16328098396198987,Justin Bieber
Born to be Somebody,2011-02-14,NA,Never Say Never - The Remixes,-0.34297848497311634,-0.36263875573365684,-0.44253832556380274,0.047500243297660845,1,-2.0841997234282554,0,-2.0841997234282554,Justin Bieber
Boyfriend,2012-03-26,Def Jam,Believe (Deluxe Edition),0.34531512292667293,0.7459868717615393,0.8816649904017557,1.2844478866243905,3,-0.2564857573655791,0,-0.2564857573655791,Justin Bieber
Change Me,2013-12-02,NA,Journals,-0.3428199522188321,-0.36103216953238126,0.007355276914908161,0.546298494896562,2,2.0197914371602805,0,2.0197914371602805,Justin Bieber
Children,2015-11-13,NA,Purpose (Deluxe),-0.34297848497311634,-0.36263875573365684,-0.44253832556380274,0.047500243297660845,4,0.5063092779272965,0,0.5063092779272965,Justin Bieber
Company,2016-03-08,Def Jam,Purpose (Deluxe),-0.28946980602938976,-0.2863281496118582,0.14342659095863303,-0.03980778077667006,5,1.2175648015242848,0,1.2175648015242848,Justin Bieber
Confident,2013-12-09,Island Records,Journals,-0.3394911120840583,-0.3452084353041885,0.3708966564040139,0.2382352128364857,3,1.6542540685022111,0,1.6542540685022111,Justin Bieber
Die in your Arms,2012-05-29,NA,Believe (Deluxe Edition),-0.33988459596111825,-0.3363678526918433,0.7140475502121204,0.07083347842786519,10,-0.5146751767408518,0,-0.5146751767408518,Justin Bieber
Down to Earth,2009-11-17,Def Jam,My World,-0.3430179509330436,-0.36303870757279294,-0.6508371551595509,-0.18344123139773275,5,-1.445000065278537,0,-1.445000065278537,Justin Bieber
Drummer Boy,2011-11-01,NA,under the Mistletoe (Deluxe Edition),-0.34206284318195196,-0.3587970384014953,-1.0398299207547803,-1.731604644830516,4,2.635346813739796,0,2.635346813739796,Justin Bieber
Eenie Meenie,2010-03-23,NA,My World 2.0,-0.15196863901845298,-0.11649676722700085,0.7380508260511459,0.4036678799449501,6,-0.7685944553140558,0,-0.7685944553140558,Justin Bieber
Favorite Girl,2009-11-02,Island/Def Jam,My World,-0.3405630850517835,-0.3445666642643588,0.5984515430402506,0.6450894818638955,4,-0.6028987163515294,0,-0.6028987163515294,Justin Bieber
First Dance,2009-11-17,NA,My World,-0.34313595016676557,-0.3642345231726343,-3.054592010721168,-2.8484907289247405,5,0.8239488063295628,0,0.8239488063295628,Justin Bieber
Get Used to it,2015-11-13,NA,Purpose (Deluxe),-0.3430893404694454,-0.363762176010697,-1.3541322769883117,-0.9631864315816413,7,0.8188848258950265,0,0.8188848258950265,Justin Bieber
Heartbreaker,2013-10-07,NA,Journals,-0.33590376416499584,-0.3269139067514324,0.7615028869603189,0.6485397641874578,6,-0.06957971870026283,0,-0.06957971870026283,Justin Bieber
Hold Tight,2013-10-21,Def Jam,Journals,-0.3420108885073128,-0.3528330399534575,0.5568170126359776,1.1554882046149528,3,-0.45696993253149487,0,-0.45696993253149487,Justin Bieber
i Don't Care,2019-05-10,NA,NA,-0.02751838476311479,0.6130517548756924,0.8816649904017557,1.4941347167000505,5,-2.0324669245025135,0,-2.0324669245025135,Justin Bieber
I'll Show you,2015-11-02,Def Jam,Purpose (Deluxe),-0.2730873659346695,-0.2357423420185699,0.6894665230815085,0.7049235671203559,4,-0.7437904263568568,0,-0.7437904263568568,Justin Bieber
Life is Worth Living,2015-11-13,Def Jam,Purpose (Deluxe),-0.3418764018477693,-0.35672433795994307,-0.20788245516247764,-0.278924587096468,2,2.387928266551476,0,2.387928266551476,Justin Bieber
Love Me,2012-06-11,NA,My World,-0.3373741216040108,-0.33898021920479426,0.4367031428209981,-0.23144696122296704,4,0.847271357229175,0,0.847271357229175,Justin Bieber
